Subfamily	Genus	Species	Subspecies	Author Date
Myrmicinae	Acromyrmex	versicolor		(Pergande, 1893)
Myrmicinae	Adelomyrmex	sc01		null
Myrmicinae	Adelomyrmex	tristani		(Menozzi, 1931)
Myrmicinae	Adlerzia	froggatti		(Forel, 1902)
Myrmicinae	Allomerus	octoarticulatus		Mayr, 1878
Myrmicinae	Ancyridris	polyrhachoides_nr		null
Myrmicinae	Anillomyrma	afrc-tz-01		null
Myrmicinae	Anillomyrma	decamera		(Emery, 1901)
Myrmicinae	Aphaenogaster	araneoides		Emery, 1890
Myrmicinae	Aphaenogaster	occidentalis		(Emery, 1895)
Myrmicinae	Aphaenogaster	pythia		Forel, 1915
Myrmicinae	Aphaenogaster	swammerdami		Forel, 1886
Myrmicinae	Apterostigma	auriculatum		Wheeler, 1925
Myrmicinae	Aretidris	buenaventei		General, 2015
Myrmicinae	Atopomyrmex	mocquerysi		André, 1889
Myrmicinae	Atta	texana		(Buckley, 1860)
Myrmicinae	Austromorium	flavigaster		(Clark, 1938)
Myrmicinae	Baracidris	sitra		Bolton, 1981
Myrmicinae	Bariamyrma	hispidula		Lattke, 1990
Myrmicinae	Basiceros	manni		Brown & Kempf, 1960
Myrmicinae	Blepharidatta	conops		Kempf, 1967
Myrmicinae	Calyptomyrmex	kaurus		Bolton, 1981
Myrmicinae	Cardiocondyla	mauritanica		Forel, 1890
Myrmicinae	Cardiocondyla	my01		null
Myrmicinae	Cardiocondyla	nigrocerea		Karavaiev, 1935
Myrmicinae	Cardiocondyla	thoracica		(Smith, 1859)
Myrmicinae	Carebara	affinis		(Jerdon, 1851)
Myrmicinae	Carebara	alperti		Fernández, 2010
Myrmicinae	Carebara	au01		null
Myrmicinae	Carebara	urichi		(Wheeler, 1922)
Myrmicinae	Carebara	vidua		Smith, 1858
Myrmicinae	Carebarella	pa01		null
Myrmicinae	Cataulacus	ebrardi		Forel, 1886
Myrmicinae	Cataulacus	hispidulus		Smith, 1865
Myrmicinae	Cephalotes	atratus		(Linnaeus, 1758)
Myrmicinae	Cephalotes	texanus		(Santschi, 1915)
Myrmicinae	Colobostruma	unicorna		Shattuck, 2000
Myrmicinae	Crematogaster	acuta		(Fabricius, 1804)
Myrmicinae	Crematogaster	emeryana		Creighton, 1950
Myrmicinae	Crematogaster	kelleri		Forel, 1891
Myrmicinae	Crematogaster	modiglianii		Emery, 1900
Myrmicinae	Crematogaster	sordidula		(Nylander, 1849)
Myrmicinae	Cryptomyrmex	boltoni		(Fernández, 2003)
Myrmicinae	Cyphoidris	exalta		Bolton, 1981
